Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
Acai Bowl (1 serving),350.0,5.0,60.0,12.0,10.0,30.0,40.0,0.0,250.0
Aioli (Garlic 1 tbsp),95.0,0.1,0.5,10.5,0.0,0.1,70.0,5.0,0.0
Aji Amarillo Paste (1 tsp),5.0,0.1,1.0,0.0,0.5,0.5,50.0,0.0,0.0
Alfajores (1 cookie),180.0,2.0,22.0,10.0,1.0,15.0,60.0,20.0,0.0
Almond Milk (Unsweetened 1 cup),30.0,1.0,1.0,2.5,1.0,0.0,160.0,0.0,240.0
Almonds (1 oz),164.0,6.0,6.0,14.0,3.5,1.0,1.0,0.0,0.0
Amaretti Cookie (2 cookies),90.0,2.0,12.0,4.0,1.0,10.0,10.0,0.0,0.0
Angel Hair Pasta (1 cup),200.0,7.0,42.0,1.0,2.0,1.0,1.0,0.0,0.0
Angostura Bitters (dash),5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ants on a Log (4 pcs),180.0,6.0,12.0,12.0,3.0,7.0,120.0,0.0,250.0
Aperol Spritz (1 drink),180.0,0.0,20.0,0.0,0.0,20.0,10.0,0.0,150.0
Apple,95.0,0.5,25.0,0.3,4.4,19.0,2.0,0.0,0.0
Apple Cider (1 cup),117.0,0.1,29.0,0.3,0.5,27.0,10.0,0.0,240.0
Apple Pie (1 slice),410.0,3.0,58.0,19.0,3.0,25.0,320.0,0.0,0.0
Arancini (1 large ball),250.0,9.0,30.0,10.0,3.0,3.0,500.0,30.0,0.0
Artichoke (1 medium steamed),60.0,4.2,13.4,0.2,6.9,1.2,112.0,0.0,0.0
Arugula (2 cups),10.0,1.0,0.8,0.2,0.4,0.4,6.0,0.0,0.0
Asparagus (1 cup steamed),40.0,4.3,7.4,0.4,3.6,3.5,4.0,0.0,0.0
Asparagus (6 spears roasted),40.0,4.0,4.0,2.0,3.0,2.0,150.0,0.0,0.0
Avocado (1/2 fruit),160.0,2.0,8.5,14.7,6.7,0.7,7.0,0.0,0.0
Avocado Toast (1 slice),260.0,7.0,28.0,15.0,10.0,1.0,350.0,0.0,500.0
BBQ Sauce (2 tbsp),60.0,0.5,15.0,0.0,0.5,12.0,350.0,0.0,0.0
Baba Ganoush (1/4 cup),100.0,2.0,8.0,7.0,4.0,2.0,300.0,0.0,0.0
Bacon (2 slices cooked),86.0,6.0,0.2,6.8,0.0,0.1,330.0,18.0,0.0
Bagel (plain),270.0,11.0,55.0,1.5,2.0,5.0,430.0,0.0,250.0
Baguette (slice),70.0,2.5,14.0,0.5,0.6,0.5,150.0,0.0,0.0
Baked Potato (medium),160.0,4.3,36.0,0.2,3.8,1.0,17.0,0.0,0.0
Baklava (1 piece),280.0,3.0,30.0,18.0,2.0,20.0,80.0,10.0,0.0
Balsamic Glaze (1 tbsp),40.0,0.0,9.0,0.0,0.0,8.0,10.0,0.0,0.0
Balsamic Glaze (1 tsp),13.0,0.0,3.0,0.0,0.0,2.7,3.0,0.0,0.0
Balsamic Vinaigrette (2 tbsp),90.0,0.0,3.0,9.0,0.0,2.5,300.0,0.0,0.0
Banana,105.0,1.3,27.0,0.4,3.1,14.0,1.0,0.0,0.0
Basil (2 tbsp fresh),1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Basil (fresh garnish),1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Bean Sprouts (1/4 cup garnish),8.0,0.8,1.5,0.1,0.4,1.0,1.0,0.0,0.0
Beef Burrito (large),650.0,30.0,70.0,28.0,10.0,5.0,1400.0,70.0,500.0
Beef Jerky (1 oz),116.0,9.4,3.1,7.2,0.5,2.5,590.0,30.0,0.0
Beef Pho (1 large bowl),450.0,30.0,55.0,12.0,4.0,5.0,1500.0,60.0,500.0
Beef Steak (6oz sirloin),270.0,42.0,0.0,10.0,0.0,0.0,90.0,115.0,250.0
Beef Stroganoff (1.5 cups),550.0,30.0,40.0,28.0,4.0,6.0,900.0,100.0,0.0
Beef Tacos (2 hard shell),380.0,18.0,28.0,22.0,5.0,3.0,600.0,50.0,500.0
Beef Wellington (1 slice),600.0,30.0,35.0,38.0,4.0,4.0,850.0,100.0,0.0
Beer (12 oz light),103.0,0.9,5.8,0.0,0.0,0.3,10.0,0.0,355.0
Beets (1/2 cup roasted),30.0,0.8,6.8,0.1,1.4,5.8,50.0,0.0,0.0
Bell Pepper (1 medium red),31.0,1.2,6.0,0.3,2.1,4.2,4.0,0.0,0.0
Bell Peppers & Onions (sautéed),60.0,1.5,10.0,2.0,3.0,6.0,30.0,0.0,0.0
Berry Coulis (1 tbsp),20.0,0.0,5.0,0.0,0.5,4.5,0.0,0.0,0.0
Biryani (Chicken 1.5 cups),520.0,28.0,60.0,18.0,5.0,6.0,900.0,75.0,0.0
Biscotti (1 cookie),110.0,2.0,18.0,4.0,1.0,9.0,50.0,15.0,0.0
Biscuits and Gravy (1 serving),480.0,10.0,45.0,28.0,2.0,3.0,1100.0,35.0,250.0
Bison Burger (1 patty),150.0,22.0,0.0,7.0,0.0,0.0,65.0,70.0,250.0
Black Beans (1/2 cup),114.0,7.6,20.4,0.5,7.5,0.3,1.0,0.0,0.0
Black Pepper (1 tsp),6.0,0.2,1.5,0.1,0.6,0.0,0.0,0.0,0.0
Black Pepper (1/2 tsp),3.0,0.1,0.7,0.0,0.3,0.0,0.0,0.0,0.0
Black Pepper (1/4 tsp),1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
Blackberries (1 cup),62.0,2.0,13.8,0.7,7.6,4.9,1.0,0.0,0.0
Blue Cheese (1 oz),100.0,6.0,0.7,8.0,0.0,0.1,325.0,21.0,0.0
Blue Cheese Dressing (2 tbsp),150.0,1.0,2.0,16.0,0.0,1.0,320.0,10.0,0.0
Blueberries (1/2 cup),42.0,0.5,11.0,0.2,1.8,7.0,1.0,0.0,0.0
Bobotie (1 serving),450.0,25.0,30.0,25.0,5.0,15.0,700.0,150.0,0.0
Bok Choy (1 cup steamed),10.0,1.5,2.0,0.1,1.0,1.0,40.0,0.0,0.0
Bread Roll (hoagie),200.0,6.0,38.0,2.0,2.0,3.0,400.0,0.0,0.0
Breadcrumbs (coating),25.0,0.5,4.0,0.5,0.5,0.5,50.0,0.0,0.0
Breadstick (1 large),160.0,4.0,28.0,3.0,1.0,2.0,350.0,0.0,0.0
Brie Cheese (1 oz),95.0,6.0,0.1,7.9,0.0,0.1,178.0,28.0,0.0
Brown Rice (1 cup cooked),215.0,5.0,45.0,1.8,3.5,0.4,10.0,0.0,0.0
Bruschetta (2 pcs),180.0,4.0,25.0,7.0,3.0,4.0,350.0,0.0,0.0
Bubble Tea (16 oz milk tea),320.0,2.0,70.0,4.0,1.0,60.0,100.0,10.0,473.0
Bulgur (1 tbsp shell),15.0,0.5,3.4,0.0,0.8,0.0,1.0,0.0,0.0
Bulgur (1/4 cup in tabouli),76.0,2.7,16.8,0.2,4.1,0.1,4.0,0.0,0.0
Bun (hamburger),140.0,4.0,26.0,2.0,1.0,4.0,260.0,0.0,0.0
Burger (cheeseburger),550.0,30.0,40.0,30.0,3.0,7.0,1100.0,90.0,500.0
