disease_name,total_cases,common_symptoms,avg_duration_months,gender_distribution
Acute disseminated encephalomyelitis,85,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Dry eyes and/or mouth,0.5,"Male: 48, Female: 37"
Acute motor axonal neuropathy,81,Low-grade fever; Weight loss; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 39, Female: 42"
Addison's disease,80,Low-grade fever; Fatigue or chronic tiredness; Weight loss; General 'unwell' feeling,0.5,"Male: 44, Female: 36"
Alopecia areata,78,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Stiffness in the joints; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 41, Female: 37"
Anti-NMDA receptor encephalitis,82,Low-grade fever; Dry eyes and/or mouth; Joint pain,0.5,"Male: 39, Female: 43"
Antiphospholipid syndrome,101,Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 58, Female: 43"
Autoimmune angioedema,82,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Stiffness in the joints; Dry eyes and/or mouth; Joint pain,0.5,"Male: 40, Female: 42"
Autoimmune encephalitis,85,Rashes and skin lesions; Stiffness in the joints,0.5,"Male: 46, Female: 39"
Autoimmune enteropathy,80,Fatigue or chronic tiredness; Dizziness; Weight loss; Joint pain,0.6,"Male: 38, Female: 42"
Autoimmune hemolytic anemia,76,Low-grade fever; Weight loss; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 39, Female: 37"
Autoimmune hepatitis,84,Dizziness; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss,0.6,"Male: 49, Female: 35"
Autoimmune oophoritis,170,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Weight loss; Rashes and skin lesions; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 87, Female: 83"
Autoimmune orchitis,162,Low-grade fever; Weight loss; Rashes and skin lesions; Brittle hair or hair loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 83, Female: 79"
Autoimmune pancreatitis,76,Fatigue or chronic tiredness; Dizziness; Weight loss; Brittle hair or hair loss; General 'unwell' feeling,0.6,"Male: 39, Female: 37"
Autoimmune polyendocrine syndrome type 1 (APS1),85,Dizziness; Brittle hair or hair loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 41, Female: 44"
Autoimmune polyendocrine syndrome type 2 (APS2),78,Dizziness; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 38, Female: 40"
Autoimmune polyendocrine syndrome type 3 (APS3),83,Fatigue or chronic tiredness; Dizziness; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 43, Female: 40"
Autoimmune progesterone dermatitis,82,Dizziness; Brittle hair or hair loss,0.5,"Male: 48, Female: 34"
Autoimmune retinopathy,82,Fatigue or chronic tiredness; Dizziness; Rashes and skin lesions; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 39, Female: 43"
Autoimmune urticaria,96,Dizziness; Rashes and skin lesions; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 38, Female: 58"
Autoimmune uveitis,73,Low-grade fever; Dizziness; Weight loss; Rashes and skin lesions; Dry eyes and/or mouth; Joint pain,0.5,"Male: 38, Female: 35"
Balo concentric sclerosis,83,Low-grade fever; Stiffness in the joints,0.5,"Male: 43, Female: 40"
Behçet's disease,81,Fatigue or chronic tiredness; Dizziness; Weight loss; Rashes and skin lesions; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 43, Female: 38"
Bickerstaff's encephalitis,94,Fatigue or chronic tiredness; Dizziness; Stiffness in the joints; Brittle hair or hair loss,0.5,"Male: 46, Female: 48"
Bullous pemphigoid,88,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Rashes and skin lesions; Stiffness in the joints; Dry eyes and/or mouth; Joint pain,0.5,"Male: 37, Female: 51"
Celiac disease,86,Low-grade fever; Rashes and skin lesions; Joint pain,0.5,"Male: 40, Female: 46"
Chronic inflammatory demyelinating polyneuropathy,98,Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss,0.5,"Male: 42, Female: 56"
Cicatricial pemphigoid,77,Fatigue or chronic tiredness; Weight loss; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 35, Female: 42"
Cogan syndrome,84,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Rashes and skin lesions; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 49, Female: 35"
Crohn's disease,81,Low-grade fever; Dizziness; Weight loss; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 40, Female: 41"
Dermatitis herpetiformis,101,Low-grade fever; Dizziness; Stiffness in the joints; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.6,"Male: 50, Female: 51"
Dermatomyositis,183,Low-grade fever; Dizziness; Stiffness in the joints; Dry eyes and/or mouth,0.5,"Male: 95, Female: 88"
Diabetes mellitus type 1,75,Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 41, Female: 34"
Discoid lupus erythematosus,92,Weight loss; General 'unwell' feeling; Joint pain,0.5,"Male: 46, Female: 46"
Endometriosis,184,Low-grade fever; Dizziness; Rashes and skin lesions; Brittle hair or hair loss; General 'unwell' feeling,0.5,"Male: 106, Female: 78"
Eosinophilic granulomatosis with polyangiitis (EGPA),76,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Weight loss; Rashes and skin lesions; Dry eyes and/or mouth; Joint pain,0.5,"Male: 37, Female: 39"
Epidermolysis bullosa acquisita,89,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Weight loss; Stiffness in the joints; Brittle hair or hair loss; Joint pain,0.5,"Male: 44, Female: 45"
Erythema nodosum,86,Dizziness; Weight loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 42, Female: 44"
Fibromyalgia,84,Low-grade fever; Dizziness; Weight loss; Rashes and skin lesions; General 'unwell' feeling; Joint pain,0.5,"Male: 34, Female: 50"
Gestational pemphigoid,88,Low-grade fever; Rashes and skin lesions; Stiffness in the joints; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 38, Female: 50"
Giant cell arteritis,82,Low-grade fever; Dizziness; Joint pain,0.5,"Male: 45, Female: 37"
Goodpasture syndrome,80,Low-grade fever; Fatigue or chronic tiredness; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth,0.6,"Male: 37, Female: 43"
Granulomatosis with polyangiitis (GPA),78,Weight loss; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 40, Female: 38"
