name,latin_name,hindi_name,preview,rasa,guna,virya,vipaka,prabhava,pacify_dosha,aggravate_dosha,tridosha,category,therapeutic_uses,contraindications,source_url,pacify_vata,pacify_pitta,pacify_kapha,aggravate_vata,aggravate_pitta,aggravate_kapha
Tulsi,Ocimum tenuiflorum,तुलसी,"Tulsi (Ocimum sanctum) is known as the 'Queen of Herbs' in Ayurveda. It boosts immunity, combats respiratory disorders, and has adaptogenic properties.","Katu, Tikta","Laghu, Ruksha",Ushna,Katu,"rasayan, Krimighna, Kasahara, Shoolaghna","Kapha, Vata",Pitta,False,"Analgesic, Anti-parasitic, Rejuvenation, Respiratory","Analgesic; Anti-parasitic; Rejuvenation; Respiratory; Tulsi (Ocimum sanctum) is known as the 'Queen of Herbs' in Ayurveda. It boosts immunity, combats respiratory disorders, and has adaptogenic properties.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/p/tulsi.html,1,0,1,0,1,0
Amla,Phyllanthus emblica,आंवला,"Amla (Emblica officinalis) is a potent source of Vitamin C. It rejuvenates tissues, improves digestion, eyesight, and balances all three doshas.",Amla,"Laghu, Snigdha",Sheeta,Madhura,"rasayan, Chakshushya, Hridaya, Deepana",tridosha,,True,"Cardiac, Digestive, Ophthalmological, Rejuvenation","Amla (Emblica officinalis) is a potent source of Vitamin C. It rejuvenates tissues, improves digestion, eyesight, and balances all three doshas.; Cardiac; Digestive; Ophthalmological; Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/p/amla.html,1,1,1,0,0,0
Ashwagandha,Withania somnifera,अश्वगंधा,"Ashwagandha (Withania somnifera) is a powerful adaptogen. It reduces stress, increases strength, and supports reproductive and nervous systems.","Tikta, Kashaya","Guru, Snigdha",Ushna,Madhura,"Balya, Medhya, Vrishya, rasayan","Vata, Kapha",Pitta,False,"Neurological, Rejuvenation, Reproductive, Strengthening","Ashwagandha (Withania somnifera) is a powerful adaptogen. It reduces stress, increases strength, and supports reproductive and nervous systems.; Neurological; Rejuvenation; Reproductive; Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/p/ashwagandha.html,1,0,1,0,1,0
Giloy,Tinospora cordifolia,गिलोय,"Giloy (Tinospora cordifolia) is a powerful immunity booster. It acts as an antipyretic, detoxifier, and rejuvenator with anti-inflammatory effects.",Tikta,"Laghu, Sara",Ushna,Madhura,"Jwaraghna, Raktashodhak, Shothahara, rasayan",tridosha,,True,"Anti-inflammatory, Anti-pyretic, Blood Purification, Rejuvenation","Anti-inflammatory; Anti-pyretic; Blood Purification; Giloy (Tinospora cordifolia) is a powerful immunity booster. It acts as an antipyretic, detoxifier, and rejuvenator with anti-inflammatory effects.; Rejuvenation","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/p/giloy.html,1,1,1,0,0,0
Shatavari,Asparagus racemosus,शतावरी,"Shatavari (Asparagus racemosus) supports female reproductive health, boosts vitality, and is a top Ayurvedic rejuvenator for Pitta and Vata.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Stanyashodhana, Shukrala, rasayan, Varnya","Vata, Pitta",Kapha,False,"Dermatological, Rejuvenation, Reproductive","Dermatological; Rejuvenation; Reproductive; Shatavari (Asparagus racemosus) supports female reproductive health, boosts vitality, and is a top Ayurvedic rejuvenator for Pitta and Vata.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/p/shatavari.html,1,1,0,0,0,1
Nagarmotha,Cyperus rotundus,नागरमोथा,"Used to treat indigestion, fever, and obesity through its deepana and pachana actions.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Deepana, Pachana, Grahi","Kapha, Pitta",Vata,False,Digestive,"Digestive; Used to treat indigestion, fever, and obesity through its deepana and pachana actions.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/p/nagarmotha.html,0,1,1,1,0,0
Agnimantha,Premna integrifolia,अग्निमंथ,"Part of Dashamoola, used in vata disorders and for promoting digestion.",Tikta,Laghu,Ushna,Katu,"Shoolaghna, Virechana",Vata,Pitta,False,"Analgesic, Purgative","Analgesic; Part of Dashamoola, used in vata disorders and for promoting digestion.; Purgative","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/p/agnimantha.html,1,0,0,0,1,0
Rohitaka,Tecomella undulata,रोहितक,"Used for treating liver disorders, ascites, and splenomegaly.","Tikta, Kashaya","Laghu, Ruksha",Sheeta,Katu,"Raktashodhak, Deepana, Pachana","Pitta, Kapha",Vata,False,"Blood Purification, Digestive","Blood Purification; Digestive; Used for treating liver disorders, ascites, and splenomegaly.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/p/rohitaka.html,0,1,1,1,0,0
Chopchini,Smilax china,चोपचीनी,"Used in treating joint disorders and skin diseases, known for its anti-inflammatory action.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Shothahara, Shoolaghna, Vrishya","Vata, Kapha",Pitta,False,"Analgesic, Anti-inflammatory, Reproductive","Analgesic; Anti-inflammatory; Reproductive; Used in treating joint disorders and skin diseases, known for its anti-inflammatory action.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/chopchini-ayurvedic-uses-benefits.html,1,0,1,0,1,0
Bhringraj,Eclipta prostrata,भृंगराज,"Promotes hair growth, supports liver function, and has rejuvenating qualities.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"rasayan, Chakshushya, Vrishya","Vata, Pitta",Kapha,False,"Ophthalmological, Rejuvenation, Reproductive","Ophthalmological; Promotes hair growth, supports liver function, and has rejuvenating qualities.; Rejuvenation; Reproductive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/bhringraj-ayurvedic-uses-benefits.html,1,1,0,0,0,1
