disease_name,Duration of Treatment,dietary_advice,lifestyle_changes,herbs,herbs,dosha_involvement,dietary_advice,yoga_pranayama,total_cases
Cough,1-2 weeks,"Spicy, Oily Foods","Desk Job, Low physical activity","Ginger, Honey","Tulsi, Ashwagandha","Vata, Kapha",Avoid cold foods; stay hydrated; consume warm liquids.,"Anulom Vilom, Pranayama",2
Diabetes,Lifetime management,"High sugar, Low fiber","Sedentary job, Low exercise","Cinnamon, Bitter melon","Jamun, Gudmar","Pitta, Kapha",Avoid sugary foods; focus on low-GI foods; regular exercise.,"Surya Namaskar, Pranayama",2
Hypertension,Lifetime management,"Low Salt, Low Fat","Desk Job, High stress","Garlic, Hibiscus tea","Ashwagandha, Arjuna","Pitta, Vata",Reduce salt; practice yoga and meditation; avoid spicy foods.,"Surya Namaskar, Meditation",3
Migraine,3-4 days for relief,"Spicy, Caffeinated foods","High screen time, Low activity","Peppermint, Lavender oil","Brahmi, Jatamansi","Pitta, Vata",Maintain regular meal times; avoid bright lights; stay hydrated.,"Anulom Vilom, Pranayama",2
Arthritis,Variable,"Low-fat, Low-carb","Sedentary lifestyle, Office job","Turmeric, Ginger","Ashwagandha, Guggul","Vata, Kapha",Consume anti-inflammatory foods; stay active; avoid cold exposure.,"Yoga for flexibility, Strength",3
Common Cold,7-10 days,Balanced diet,"Office job, Low activity","Echinacea, Ginger tea","Tulsi, Ginger","Kapha, Vata",Rest well; consume warm foods; avoid dairy temporarily.,"Pranayama, Anulom Vilom",1
Indigestion,1-3 days,"Spicy, Oily foods","Sedentary job, High stress","Peppermint, Fennel","Triphala, Ajwain","Vata, Pitta",Avoid processed foods; eat smaller meals; stay active.,"Pranayama, Yogasanas",2
Asthma,Lifelong management,"Low-fat, High-protein","Sedentary lifestyle, Low activity","Ginger, Eucalyptus oil","Ashwagandha, Tulsi","Kapha, Vata",Avoid cold and dusty environments; practice breathing exercises.,"Pranayama, Kapalbhati",4
Constipation,2-3 days,"High fiber, Low-fat","Office job, Low physical activity","Triphala, Aloe Vera","Triphala, Isabgol",Vata,Increase fiber intake; stay hydrated; practice regular bowel routines.,"Paschimottanasana, Pranayama",2
Insomnia,"Variable, up to 4 weeks","Caffeine, Spicy foods","Office job, High stress","Valerian root, Chamomile","Ashwagandha, Jatamansi","Vata, Pitta",Establish a sleep routine; avoid caffeine; practice meditation.,"Anulom Vilom, Yoga Nidra",2
Obesity,"Variable, long-term","High-calorie, Low-nutrient",Sedentary lifestyle,"Green tea, Garcinia Cambogia","Guggul, Triphala",Kapha,Avoid heavy and oily foods; focus on exercise; eat light dinners.,"Surya Namaskar, Walking",2
Skin Allergy,1-2 weeks,"High-protein, Low-dairy",Exposure to allergens,"Aloe Vera, Chamomile","Neem, Tulsi",Pitta,Avoid allergens; wear loose clothing; consume cooling foods.,"Anulom Vilom, Pranayama",1
Anxiety,2-4 weeks,"Balanced diet, Low caffeine",High-stress job,"Lavender oil, Ashwagandha","Brahmi, Ashwagandha","Vata, Pitta",Practice yoga; avoid stimulants; focus on mindfulness.,"Meditation, Deep Breathing",2
Fever,3-5 days,Balanced diet,"Sedentary, Dependent on season","Ginger, Honey","Tulsi, Ginger","Pitta, Kapha","Rest; stay hydrated; consume light, warm meals.","Surya Namaskar, Pranayama",2
Acidity,1-3 days,"Spicy, Oily foods","Office job, High stress","Ginger, Fennel","Amla, Ajwain",Pitta,Avoid spicy foods; eat cooling foods like cucumber.,"Yogasanas, Pranayama",1
Acne,2-4 weeks,"Oily, High-sugar diet","Active, College/Teen lifestyle","Tea tree oil, Aloe Vera","Neem, Turmeric",Pitta,Avoid fried foods; include turmeric and green vegetables.,"Anulom Vilom, Kapalbhati",1
Acromegaly,Long-term,"High-protein, Low-fat",Sedentary lifestyle,None known,"Ashwagandha, Brahmi","Pitta, Kapha","Avoid heavy meals; consume balanced, nutrient-rich foods.",Yoga for joint flexibility,1
Acute Kidney Injury,"Varies, depends on cause","Low-salt, High-water intake","High-risk jobs (e.g., construction)","Nettle Leaf, Dandelion","Punarnava, Gokshura","Kapha, Pitta",Avoid salty and processed foods; stay hydrated.,"Pranayama, Surya Namaskar",1
Addison's Disease,Lifelong,"Low-sodium, High-potassium","Sedentary lifestyle, Medical jobs","Licorice Root, Ashwagandha","Ashwagandha, Licorice","Vata, Pitta","Include salty foods; consume small, frequent meals.","Gentle Yoga, Restorative Practices",2
Adrenal Insufficiency,Lifelong,"Low-sodium, High-potassium","Sedentary lifestyle, Medical jobs","Ashwagandha, Rhodiola","Ashwagandha, Licorice",Vata,Avoid stress; practice yoga and meditation.,Yoga for Stress Relief,2
Alkaptonuria,Lifelong,"High-protein, Low-fat",Active lifestyle,None specific,"Guggulu, Ashwagandha","Vata, Kapha",Avoid heavy meals; perform light exercises and consume warm meals.,"Gentle Yoga, Joint Exercises",2
Allergies,"Varies, depends on allergen","High-protein, Low-dairy",Exposure to allergens,"Local Honey, Echinacea","Brahmi, Ashwagandha","Vata, Kapha",Avoid cold foods; include herbal teas in the diet.,"Pranayama, Breathing Exercises",1
