Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
Acai Bowl (1 serving),0.5147059,0.11111111,0.85714287,0.3,0.71428573,0.5,0.025316456,0.0,0.5
Aioli (Garlic 1 tbsp),0.13970588,0.0022222223,0.007142857,0.26250002,0.0,0.0016666668,0.044303797,0.011111111,0.0
Aji Amarillo Paste (1 tsp),0.007352941,0.0022222223,0.014285714,0.0,0.035714287,0.008333334,0.03164557,0.0,0.0
Alfajores (1 cookie),0.2647059,0.044444446,0.31428573,0.25,0.071428575,0.25,0.037974685,0.044444446,0.0
Almond Milk (Unsweetened 1 cup),0.04411765,0.022222223,0.014285714,0.0625,0.071428575,0.0,0.101265825,0.0,0.48000002
Almonds (1 oz),0.24117647,0.13333334,0.08571429,0.35,0.25,0.016666668,0.0006329114,0.0,0.0
Amaretti Cookie (2 cookies),0.13235295,0.044444446,0.17142858,0.1,0.071428575,0.16666667,0.006329114,0.0,0.0
Angel Hair Pasta (1 cup),0.29411766,0.15555556,0.6,0.025,0.14285715,0.016666668,0.0006329114,0.0,0.0
Angostura Bitters (dash),0.007352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ants on a Log (4 pcs),0.2647059,0.13333334,0.17142858,0.3,0.21428573,0.116666675,0.07594937,0.0,0.5
Aperol Spritz (1 drink),0.2647059,0.0,0.2857143,0.0,0.0,0.33333334,0.006329114,0.0,0.3
Apple,0.13970588,0.011111111,0.35714287,0.0075000003,0.31428573,0.3166667,0.0012658228,0.0,0.0
Apple Cider (1 cup),0.17205882,0.0022222223,0.41428572,0.0075000003,0.035714287,0.45000002,0.006329114,0.0,0.48000002
Apple Pie (1 slice),0.6029412,0.06666667,0.82857144,0.475,0.21428573,0.4166667,0.20253165,0.0,0.0
Arancini (1 large ball),0.36764705,0.2,0.42857143,0.25,0.21428573,0.050000004,0.3164557,0.06666667,0.0
Artichoke (1 medium steamed),0.0882353,0.093333334,0.19142857,0.0050000004,0.49285716,0.020000001,0.070886075,0.0,0.0
Arugula (2 cups),0.014705882,0.022222223,0.011428571,0.0050000004,0.02857143,0.0066666673,0.0037974683,0.0,0.0
Asparagus (1 cup steamed),0.05882353,0.09555556,0.10571429,0.010000001,0.25714287,0.058333337,0.0025316456,0.0,0.0
Asparagus (6 spears roasted),0.05882353,0.08888889,0.057142857,0.05,0.21428573,0.033333335,0.094936706,0.0,0.0
Avocado (1/2 fruit),0.23529412,0.044444446,0.12142857,0.3675,0.47857144,0.011666667,0.0044303797,0.0,0.0
Avocado Toast (1 slice),0.38235295,0.15555556,0.4,0.375,0.71428573,0.016666668,0.221519,0.0,1.0
BBQ Sauce (2 tbsp),0.0882353,0.011111111,0.21428572,0.0,0.035714287,0.20000002,0.221519,0.0,0.0
Baba Ganoush (1/4 cup),0.14705883,0.044444446,0.114285715,0.175,0.2857143,0.033333335,0.18987341,0.0,0.0
Bacon (2 slices cooked),0.1264706,0.13333334,0.0028571428,0.17,0.0,0.0016666668,0.20886075,0.04,0.0
Bagel (plain),0.39705884,0.24444444,0.78571427,0.0375,0.14285715,0.083333336,0.2721519,0.0,0.5
Baguette (slice),0.10294118,0.055555556,0.2,0.0125,0.042857148,0.008333334,0.094936706,0.0,0.0
Baked Potato (medium),0.23529412,0.09555556,0.51428574,0.0050000004,0.27142859,0.016666668,0.010759493,0.0,0.0
Baklava (1 piece),0.4117647,0.06666667,0.42857143,0.45000002,0.14285715,0.33333334,0.050632913,0.022222223,0.0
Balsamic Glaze (1 tbsp),0.05882353,0.0,0.12857144,0.0,0.0,0.13333334,0.006329114,0.0,0.0
Balsamic Glaze (1 tsp),0.019117648,0.0,0.042857144,0.0,0.0,0.045,0.0018987341,0.0,0.0
Balsamic Vinaigrette (2 tbsp),0.13235295,0.0,0.042857144,0.22500001,0.0,0.041666668,0.18987341,0.0,0.0
Banana,0.15441176,0.028888889,0.3857143,0.010000001,0.22142857,0.23333335,0.0006329114,0.0,0.0
Basil (2 tbsp fresh),0.0014705883,0.0022222223,0.0014285714,0.0,0.0071428576,0.0,0.0,0.0,0.0
Basil (fresh garnish),0.0014705883,0.0022222223,0.0,0.0,0.0071428576,0.0,0.0,0.0,0.0
Bean Sprouts (1/4 cup garnish),0.011764706,0.017777778,0.021428572,0.0025000002,0.02857143,0.016666668,0.0006329114,0.0,0.0
Beef Burrito (large),0.9558824,0.6666667,1.0,0.7,0.71428573,0.083333336,0.886076,0.15555556,1.0
Beef Jerky (1 oz),0.17058824,0.20888889,0.044285715,0.17999999,0.035714287,0.041666668,0.37341774,0.06666667,0.0
Beef Pho (1 large bowl),0.66176474,0.6666667,0.78571427,0.3,0.2857143,0.083333336,0.9493671,0.13333334,1.0
Beef Steak (6oz sirloin),0.39705884,0.93333334,0.0,0.25,0.0,0.0,0.056962024,0.25555557,0.5
Beef Stroganoff (1.5 cups),0.8088235,0.6666667,0.5714286,0.7,0.2857143,0.10000001,0.56962025,0.22222222,0.0
Beef Tacos (2 hard shell),0.5588235,0.4,0.4,0.55,0.35714287,0.050000004,0.37974682,0.11111111,1.0
Beef Wellington (1 slice),0.88235295,0.6666667,0.5,0.95,0.2857143,0.06666667,0.5379747,0.22222222,0.0
Beer (12 oz light),0.15147059,0.02,0.08285715,0.0,0.0,0.0050000004,0.006329114,0.0,0.71000004
Beets (1/2 cup roasted),0.04411765,0.017777778,0.09714286,0.0025000002,0.1,0.09666667,0.03164557,0.0,0.0
Bell Pepper (1 medium red),0.045588236,0.02666667,0.08571429,0.0075000003,0.15,0.07,0.0025316456,0.0,0.0
Bell Peppers & Onions (sautéed),0.0882353,0.033333335,0.14285715,0.05,0.21428573,0.10000001,0.018987343,0.0,0.0
Berry Coulis (1 tbsp),0.029411765,0.0,0.071428575,0.0,0.035714287,0.075,0.0,0.0,0.0
Biryani (Chicken 1.5 cups),0.7647059,0.62222224,0.85714287,0.45000002,0.35714287,0.10000001,0.56962025,0.16666667,0.0
Biscotti (1 cookie),0.16176471,0.044444446,0.25714287,0.1,0.071428575,0.15,0.03164557,0.033333335,0.0
Biscuits and Gravy (1 serving),0.7058824,0.22222222,0.64285713,0.7,0.14285715,0.050000004,0.6962025,0.07777778,0.5
Bison Burger (1 patty),0.22058824,0.4888889,0.0,0.175,0.0,0.0,0.04113924,0.15555556,0.5
Black Beans (1/2 cup),0.16764706,0.1688889,0.29142857,0.0125,0.5357143,0.0050000004,0.0006329114,0.0,0.0
Black Pepper (1 tsp),0.00882353,0.0044444446,0.021428572,0.0025000002,0.042857148,0.0,0.0,0.0,0.0
Black Pepper (1/2 tsp),0.004411765,0.0022222223,0.01,0.0,0.021428574,0.0,0.0,0.0,0.0
Black Pepper (1/4 tsp),0.0014705883,0.0,0.0028571428,0.0,0.0071428576,0.0,0.0,0.0,0.0
Blackberries (1 cup),0.09117647,0.044444446,0.19714285,0.0175,0.54285717,0.08166667,0.0006329114,0.0,0.0
Blue Cheese (1 oz),0.14705883,0.13333334,0.01,0.2,0.0,0.0016666668,0.20569621,0.046666667,0.0
