name,latin_name,hindi_name,preview,rasa,guna,virya,vipaka,prabhava,therapeutic_uses,category,contraindications,pacify_dosha,aggravate_dosha,tridosha,source_url
Tulsi,Ocimum tenuiflorum,तुलसी,"Tulsi (Ocimum sanctum) is known as the 'Queen of Herbs' in Ayurveda. It boosts immunity, combats respiratory disorders, and has adaptogenic properties.","Katu, Tikta","Laghu, Ruksha",Ushna,Katu,"rasayan, Krimighna, Kasahara, Shoolaghna","Analgesic; Anti-parasitic; Rejuvenation; Respiratory; Tulsi (Ocimum sanctum) is known as the 'Queen of Herbs' in Ayurveda. It boosts immunity, combats respiratory disorders, and has adaptogenic properties.","Analgesic, Anti-parasitic, Rejuvenation, Respiratory","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,https://www.amidhaayurveda.com/p/tulsi.html
Amla,Phyllanthus emblica,आंवला,"Amla (Emblica officinalis) is a potent source of Vitamin C. It rejuvenates tissues, improves digestion, eyesight, and balances all three doshas.",Amla,"Laghu, Snigdha",Sheeta,Madhura,"rasayan, Chakshushya, Hridaya, Deepana","Amla (Emblica officinalis) is a potent source of Vitamin C. It rejuvenates tissues, improves digestion, eyesight, and balances all three doshas.; Cardiac; Digestive; Ophthalmological; Rejuvenation","Cardiac, Digestive, Ophthalmological, Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; Consult an Ayurvedic practitioner before use during pregnancy or lactation",tridosha,,True,https://www.amidhaayurveda.com/p/amla.html
Ashwagandha,Withania somnifera,अश्वगंधा,"Ashwagandha (Withania somnifera) is a powerful adaptogen. It reduces stress, increases strength, and supports reproductive and nervous systems.","Tikta, Kashaya","Guru, Snigdha",Ushna,Madhura,"Balya, Medhya, Vrishya, rasayan","Ashwagandha (Withania somnifera) is a powerful adaptogen. It reduces stress, increases strength, and supports reproductive and nervous systems.; Neurological; Rejuvenation; Reproductive; Strengthening","Neurological, Rejuvenation, Reproductive, Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,https://www.amidhaayurveda.com/p/ashwagandha.html
Giloy,Tinospora cordifolia,गिलोय,"Giloy (Tinospora cordifolia) is a powerful immunity booster. It acts as an antipyretic, detoxifier, and rejuvenator with anti-inflammatory effects.",Tikta,"Laghu, Sara",Ushna,Madhura,"Jwaraghna, Raktashodhak, Shothahara, rasayan","Anti-inflammatory; Anti-pyretic; Blood Purification; Giloy (Tinospora cordifolia) is a powerful immunity booster. It acts as an antipyretic, detoxifier, and rejuvenator with anti-inflammatory effects.; Rejuvenation","Anti-inflammatory, Anti-pyretic, Blood Purification, Rejuvenation","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",tridosha,,True,https://www.amidhaayurveda.com/p/giloy.html
Shatavari,Asparagus racemosus,शतावरी,"Shatavari (Asparagus racemosus) supports female reproductive health, boosts vitality, and is a top Ayurvedic rejuvenator for Pitta and Vata.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Stanyashodhana, Shukrala, rasayan, Varnya","Dermatological; Rejuvenation; Reproductive; Shatavari (Asparagus racemosus) supports female reproductive health, boosts vitality, and is a top Ayurvedic rejuvenator for Pitta and Vata.","Dermatological, Rejuvenation, Reproductive","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,https://www.amidhaayurveda.com/p/shatavari.html
Nagarmotha,Cyperus rotundus,नागरमोथा,"Used to treat indigestion, fever, and obesity through its deepana and pachana actions.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Deepana, Pachana, Grahi","Digestive; Used to treat indigestion, fever, and obesity through its deepana and pachana actions.",Digestive,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Pitta",Vata,False,https://www.amidhaayurveda.com/p/nagarmotha.html
Agnimantha,Premna integrifolia,अग्निमंथ,"Part of Dashamoola, used in vata disorders and for promoting digestion.",Tikta,Laghu,Ushna,Katu,"Shoolaghna, Virechana","Analgesic; Part of Dashamoola, used in vata disorders and for promoting digestion.; Purgative","Analgesic, Purgative","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Pitta,False,https://www.amidhaayurveda.com/p/agnimantha.html
Rohitaka,Tecomella undulata,रोहितक,"Used for treating liver disorders, ascites, and splenomegaly.","Tikta, Kashaya","Laghu, Ruksha",Sheeta,Katu,"Raktashodhak, Deepana, Pachana","Blood Purification; Digestive; Used for treating liver disorders, ascites, and splenomegaly.","Blood Purification, Digestive","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,https://www.amidhaayurveda.com/p/rohitaka.html
Chopchini,Smilax china,चोपचीनी,"Used in treating joint disorders and skin diseases, known for its anti-inflammatory action.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Shothahara, Shoolaghna, Vrishya","Analgesic; Anti-inflammatory; Reproductive; Used in treating joint disorders and skin diseases, known for its anti-inflammatory action.","Analgesic, Anti-inflammatory, Reproductive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,https://www.amidhaayurveda.com/2025/10/chopchini-ayurvedic-uses-benefits.html
Bhringraj,Eclipta prostrata,भृंगराज,"Promotes hair growth, supports liver function, and has rejuvenating qualities.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"rasayan, Chakshushya, Vrishya","Ophthalmological; Promotes hair growth, supports liver function, and has rejuvenating qualities.; Rejuvenation; Reproductive","Ophthalmological, Rejuvenation, Reproductive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,https://www.amidhaayurveda.com/2025/10/bhringraj-ayurvedic-uses-benefits.html
Jatamansi,Nardostachys jatamansi,जटामांसी,"Calms the mind, supports mental clarity, and acts as a nervine tonic.",Tikta,"Laghu, Snigdha",Sheeta,Madhura,"Medhya, rasayan, Shoolaghna","Analgesic; Calms the mind, supports mental clarity, and acts as a nervine tonic.; Neurological; Rejuvenation","Analgesic, Neurological, Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,https://www.amidhaayurveda.com/2025/10/jatamansi-ayurvedic-uses-benefits.html
Chandana,Santalum album,चंदन,"Cooling herb used in Pitta disorders, urinary tract infections, and skin diseases.","Madhura, Tikta",Snigdha,Sheeta,Madhura,"Mutrala, Chakshushya, Varnya","Cooling herb used in Pitta disorders, urinary tract infections, and skin diseases.; Dermatological; Ophthalmological; Urinary","Dermatological, Ophthalmological, Urinary","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,Vata,False,https://www.amidhaayurveda.com/2025/10/chandana-sandalwood-ayurvedic-uses.html
Kutaj,Holarrhena pubescens,कुटज,"Treats diarrhea, dysentery and balances kapha and pitta dosha.","Tikta, Kashaya","Laghu, Ruksha",Sheeta,Katu,"Grahi, Krimighna, Shoolaghna","Analgesic; Anti-parasitic; Digestive; Treats diarrhea, dysentery and balances kapha and pitta dosha.","Analgesic, Anti-parasitic, Digestive","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,https://www.amidhaayurveda.com/2025/10/kutaj-ayurvedic-uses-benefits-healing.html
Rasona (Garlic),Allium sativum,लहसुन,"Used for respiratory, digestive, and circulatory disorders. Known for lekhana and deepana properties.","Katu, Tikta","Laghu, Ruksha",Ushna,Katu,"Lekhana, Deepana, rasayan","Digestive; Metabolic; Rejuvenation; Used for respiratory, digestive, and circulatory disorders. Known for lekhana and deepana properties.","Digestive, Metabolic, Rejuvenation","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,https://www.amidhaayurveda.com/2025/10/rasona-garlic-ayurvedic-uses-benefits.html
Kanchanar,Bauhinia variegata,कांचनार,"Kanchanar is used to reduce glandular swellings, support thyroid, and treat goiter.","Tikta, Kashaya","Laghu, Ruksha",Ushna,Katu,"Lekhana, Shothahara, Granthihara","Anti-inflammatory; Anti-tumour; Kanchanar is used to reduce glandular swellings, support thyroid, and treat goiter.; Metabolic","Anti-inflammatory, Anti-tumour, Metabolic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Pitta",Vata,False,https://www.amidhaayurveda.com/2025/10/kanchanar-ayurvedic-uses-benefits.html
Karpura (Camphor),Cinnamomum camphora,कपूर,"Camphor has stimulant, antispasmodic, and antiseptic actions, used in respiratory and skin conditions.","Tikta, Katu","Laghu, Ruksha",Sheeta,Katu,"Kasahara, Shwasahara, Krimighna","Anti-parasitic; Camphor has stimulant, antispasmodic, and antiseptic actions, used in respiratory and skin conditions.; Respiratory","Anti-parasitic, Respiratory","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Kapha,Pitta,False,https://www.amidhaayurveda.com/2025/10/karpura-ayurvedic-uses-benefits-healing.html
Pushkarmool,Inula racemosa,पुष्करमूल,"Effective for asthma, cough, and dyspnea. Acts as a bronchodilator and expectorant.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Kasahara, Shwasahara, Hrudya","Cardiac; Effective for asthma, cough, and dyspnea. Acts as a bronchodilator and expectorant.; Respiratory","Cardiac, Respiratory","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,https://www.amidhaayurveda.com/2025/10/pushkarmool-ayurvedic-uses-respiratory.html
Bakuchi,Psoralea corylifolia,बाकुची,"Widely used in leucoderma, vitiligo, and other skin disorders. Supports melanin production.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Kushtaghna, Varnya, rasayan","Dermatological; Rejuvenation; Widely used in leucoderma, vitiligo, and other skin disorders. Supports melanin production.","Dermatological, Rejuvenation","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Kapha,"Pitta, Vata",False,https://www.amidhaayurveda.com/2025/10/bakuchi-ayurvedic-uses-benefits-healing.html
Vidarikand,Pueraria tuberosa,विदारीकंद,"Acts as a nutritive tonic, improves fertility, and strengthens the body.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Balya, rasayan, Vrishya","Acts as a nutritive tonic, improves fertility, and strengthens the body.; Rejuvenation; Reproductive; Strengthening","Rejuvenation, Reproductive, Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,https://www.amidhaayurveda.com/2025/10/vidarikand-ayurvedic-uses-rejuvenating.html
Ajmoda,Apium graveolens,अजमोदा,"Improves digestion, relieves bloating and abdominal discomfort, and acts as carminative.","Katu, Tikta","Laghu, Ruksha",Ushna,Katu,"Deepana, Pachana, Vatanulomana","Digestive; Improves digestion, relieves bloating and abdominal discomfort, and acts as carminative.",Digestive,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,https://www.amidhaayurveda.com/2025/10/ajmoda-ayurvedic-uses-benefits-healing.html
